file,package,covered_pct,branch_pct,num_statements,missing_lines_count,uncovered_ranges
qmb\src\qmb\robustness\summary.py,qmb,92.59,84.78,170,9,"113,151,278,308,333,335,346,399,423"
packages\qmf-indicators\src\qmf\indicators\conformance.py,qmf-indicators,92.97,77.78,110,5,"133,151-154"
qmb\src\qmb\optimize\resume.py,qmb,93.09,88.3,210,10,"185,188,244,260,317,322,416,418,420,545"
packages\qmf-registry\src\qmf\registry\persistence.py,qmf-registry,93.33,86.44,332,14,"343,586,611,639,658,678,703,947,981-982,1062,1138,1148,1193"
packages\qmf-data\src\qmf\data\store\journal.py,qmf-data,93.62,86.36,72,3,"118,160,185"
packages\qmf-indicators\src\qmf\indicators\batch.py,qmf-indicators,93.88,89.44,332,14,"328,351,373,457-459,600,618,771,797,830,852,869,888"
qml\src\qml\families\__init__.py,qml,93.97,90.0,162,7,"195,222,286,346,352,359-360"
packages\qmf-structure\src\qmf\structure\composites.py,qmf-structure,94.12,89.66,129,5,"85,98,104,113,341"
packages\qmf-data\src\qmf\data\store\streams.py,qmf-data,94.37,92.86,57,3,"130-131,133"
qmb\tests\test_execution_ports.py,qmb,94.9,75.0,310,15,"186,281-282,293-295,555-557,562,565-566,569,572-573"
qmb\src\qmb\data\claim_class.py,qmb,95.04,91.67,340,12,"456,462,496,504,522,532,806,822,835,903,940,963"
packages\qmf-data\src\qmf\data\store\engines\jsonl.py,qmf-data,95.13,97.22,190,10,"112,189-190,212-213,265,299,369,484-485"
qmb\src\qmb\data\rng.py,qmb,95.16,75.0,54,1,107
qml\src\qml\conformance\registration.py,qml,95.18,91.38,170,6,"123,180,254,282,290,383"
packages\qmf-venue\src\qmf\venue\commands.py,qmf-venue,95.27,91.41,499,16,"291,415,449,451,453,477,743,844,894,1096,1128,1137,1173,1265,1268,1275"
qmb\tests\test_data_download.py,qmb,95.32,100.0,295,14,"353-356,365-368,480-485"
packages\qmf-data\src\qmf\data\journal.py,qmf-data,95.41,92.73,260,9,"157,181,193,461,550,624,639,651,657"
packages\qmf-data\src\qmf\data\store\backup_input.py,qmf-data,95.42,87.5,99,2,"193,213"
packages\qmf-risk\src\qmf\risk\admission.py,qmf-risk,95.43,92.86,238,8,"368,387,391,394,772,776,779,801"
qmb\tests\test_orchestrator_abort.py,qmb,95.77,50.0,181,4,"211,213,247,249"
qmb\tests\test_event_slice_loop.py,qmb,96.03,100.0,246,10,"343-344,352-353,361-362,365-366,437-438"
qmb\src\qmb\registryread\port.py,qmb,96.07,93.33,190,5,"61,195,365,373,403"
qmb\src\qmb\orchestrator\governor.py,qmb,96.17,93.24,239,7,"103,106,155,171,177,202,461"
packages\qmf-indicators\src\qmf\indicators\_reference.py,qmf-indicators,96.3,95.83,84,3,"181,188,196"
qml\tests\test_prediction.py,qml,96.44,66.67,213,4,"122,428-430"
qmb\tests\test_registryread.py,qmb,96.52,64.29,302,6,"279,281,289-291,336"
packages\qmf-structure\src\qmf\structure\research.py,qmf-structure,96.67,91.67,48,1,71
packages\qmf-risk\src\qmf\risk\templates.py,qmf-risk,96.69,93.33,91,2,"102,281"
qml\tests\test_conformant_bot.py,qml,96.89,85.0,141,2,322-323
packages\qmf-structure\src\qmf\structure\_bench.py,qmf-structure,97.1,83.33,63,1,69
packages\qmf-structure\src\qmf\structure\families.py,qmf-structure,97.17,94.83,154,3,"204,206,255"
qml\tests\test_protocol.py,qml,97.22,71.43,274,4,"174,176,557,559"
packages\qmf-risk\src\qmf\risk\dimensional.py,qmf-risk,97.28,94.44,185,3,"174,177,337"
packages\qmf-venue\src\qmf\venue\events.py,qmf-venue,97.46,94.62,484,7,"328,618,666,1166,1221,1369,1372"
qml\tests\test_state.py,qml,97.51,85.71,227,4,"181-182,502,507"
qml\src\qml\footprint\vocab.py,qml,97.53,87.5,73,1,198
qmb\tests\test_in_loop_warmup.py,qmb,97.67,100.0,254,6,"90-91,94-95,120-121"
qmb\src\qmb\sweep\admit.py,qmb,97.69,95.0,133,2,"347,350"
packages\qmf-indicators\src\qmf\indicators\catalog.py,qmf-indicators,97.98,98.72,169,4,"118,153,207,239"
qml\tests\test_layer1.py,qml,97.99,78.57,235,2,528-529
qmb\tests\test_fill_pipeline.py,qmb,98.1,80.0,253,3,"462,510-511"
packages\qmf-indicators\src\qmf\indicators\arithmetic.py,qmf-indicators,98.15,97.06,74,1,255
qml\tests\test_gate_registration.py,qml,98.15,81.25,255,2,517-518
packages\qmf-risk\src\qmf\risk\grammar.py,qmf-risk,98.16,96.55,159,2,"307,420"
packages\qmf-data\src\qmf\data\journal_producer.py,qmf-data,98.21,97.06,134,2,"170,441"
qmb\tests\test_significance_gate.py,qmb,98.21,87.5,216,3,"98,517-518"
packages\qmf-risk\src\qmf\risk\door.py,qmf-risk,98.51,96.88,449,3,"1155,1209,1274"
packages\qmf-structure\src\qmf\structure\provenance.py,qmf-structure,98.57,97.5,100,1,147
packages\qmf-risk\src\qmf\risk\paper.py,qmf-risk,98.58,97.84,474,5,"779,978,1014,1243,1278"
qml\tests\test_layer2.py,qml,98.63,90.91,270,2,"268,270"
qmb\tests\test_run_config.py,qmb,98.66,83.33,286,2,"243,630"
qmb\tests\test_cli_tree.py,qmb,98.77,91.67,302,2,"603,610"
packages\qmf-indicators\src\qmf\indicators\configured_indicator.py,qmf-indicators,98.78,98.3,397,4,"296,306,322-323"
qmb\tests\test_replay_binding.py,qmb,98.78,83.33,233,1,291
packages\qmf-registry\src\qmf\registry\promotion.py,qmf-registry,98.84,97.44,181,1,503
qmb\tests\test_sweep_admit.py,qmb,98.86,83.33,251,1,359
qmb\tests\test_measure_set.py,qmb,98.9,91.67,169,1,72
packages\qmf-data\src\qmf\data\splits.py,qmf-data,98.92,98.0,315,2,"673,927"
qmb\tests\test_orchestrator_log.py,qmb,98.92,83.33,180,1,241
qmb\tests\test_door_parity.py,qmb,98.98,95.83,270,2,"158,459"
qml\tests\test_logic.py,qml,98.99,91.67,186,1,91
packages\qmf-indicators\src\qmf\indicators\streaming.py,qmf-indicators,99.0,98.24,433,3,"278,1072,1094"
qmb\tests\test_ct32_artifact.py,qmb,99.02,83.33,198,1,343
packages\qmf-risk\src\qmf\risk\binding.py,qmf-risk,99.03,98.44,429,3,"395,1310,1346"
qmb\src\qmb\registryread\as_of.py,qmb,99.03,98.44,283,2,"328,396"
qmb\tests\test_config_fragments.py,qmb,99.04,50.0,308,1,480
qml\tests\test_confluence.py,qml,99.05,83.33,304,1,87
qmb\tests\test_orchestrator_ledger.py,qmb,99.06,91.67,201,1,305
packages\qmf-core\src\qmf\core\identity.py,qmf-core,99.09,98.44,155,1,224
packages\qmf-indicators\src\qmf\indicators\benchmark.py,qmf-indicators,99.09,98.08,168,1,188
qmb\tests\test_cancel_observe.py,qmb,99.11,100.0,220,2,111-112
packages\qmf-structure\src\qmf\structure\lifecycle.py,qmf-structure,99.12,100.0,251,3,"327,415,514"
qml\tests\test_sandbox.py,qml,99.16,93.75,221,1,354
qmb\tests\test_optimize_sampler.py,qmb,99.26,95.45,250,1,450
packages\qmf-structure\src\qmf\structure\objects.py,qmf-structure,99.32,98.89,206,1,158
packages\qmf-data\src\qmf\data\observation.py,qmf-data,99.39,99.02,226,1,722
qmb\tests\test_optimize_sensitivity.py,qmb,99.43,97.06,314,1,132
packages\qmf-core\src\qmf\core\fingerprint.py,qmf-core,99.48,99.15,270,1,809
packages\qmf-core\src\qmf\core\exact.py,qmf-core,99.62,99.26,385,1,947
packages\qmf-risk\src\qmf\risk\admission_bar.py,qmf-risk,99.81,100.0,356,1,238
